Id,activity_date,weekday,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalMinutesAsleep,TotalTimeInBed
1503960366,12-04-2016,Tuesday,13162,8.5,1985,25,13,328,728,NULL,NULL
1503960366,13-04-2016,Wednesday,10735,6.96999979,1797,21,19,217,776,384,407
1503960366,14-04-2016,Thursday,10460,6.739999771,1776,30,11,181,1218,NULL,NULL
1503960366,15-04-2016,Friday,9762,6.28000021,1745,29,34,209,726,412,442
1503960366,16-04-2016,Saturday,12669,8.159999847,1863,36,10,221,773,340,367
1503960366,17-04-2016,Sunday,9705,6.480000019,1728,38,20,164,539,700,712
1503960366,18-04-2016,Monday,13019,8.590000153,1921,42,16,233,1149,NULL,NULL
1503960366,19-04-2016,Tuesday,15506,9.880000114,2035,50,31,264,775,304,320
1503960366,20-04-2016,Wednesday,10544,6.679999828,1786,28,12,205,818,360,377
1503960366,21-04-2016,Thursday,9819,6.340000153,1775,19,8,211,838,325,364
1503960366,22-04-2016,Friday,12764,8.130000114,1827,66,27,130,1217,NULL,NULL
1503960366,23-04-2016,Saturday,14371,9.039999962,1949,41,21,262,732,361,384
1503960366,24-04-2016,Sunday,10039,6.409999847,1788,39,5,238,709,430,449
1503960366,25-04-2016,Monday,15355,9.800000191,2013,73,14,216,814,277,323
1503960366,26-04-2016,Tuesday,13755,8.789999962,1970,31,23,279,833,245,274
1503960366,27-04-2016,Wednesday,18134,12.21000004,2159,78,11,243,1108,NULL,NULL
1503960366,28-04-2016,Thursday,13154,8.529999733,1898,48,28,189,782,366,393
1503960366,29-04-2016,Friday,11181,7.150000095,1837,16,12,243,815,341,354
1503960366,30-04-2016,Saturday,14673,9.25,1947,52,34,217,712,404,425
1503960366,01-05-2016,Sunday,10602,6.809999943,1820,33,35,246,730,NULL,NULL
1503960366,02-05-2016,Monday,14727,9.710000038,2004,41,15,277,798,NULL,NULL
1503960366,03-05-2016,Tuesday,15103,9.659999847,1990,50,24,254,816,NULL,NULL
1503960366,04-05-2016,Wednesday,11100,7.150000095,1819,36,22,203,1179,NULL,NULL
1503960366,05-05-2016,Thursday,14070,8.899999619,1959,45,24,250,857,247,264
1503960366,06-05-2016,Friday,12159,8.029999733,1896,24,6,289,754,NULL,NULL
1503960366,07-05-2016,Saturday,11992,7.710000038,1821,37,46,175,833,NULL,NULL
1503960366,08-05-2016,Sunday,10060,6.579999924,1740,44,8,203,574,NULL,NULL
1503960366,09-05-2016,Monday,12022,7.71999979,1819,46,11,206,835,NULL,NULL
1503960366,10-05-2016,Tuesday,12207,7.769999981,1859,46,31,214,746,NULL,NULL
1503960366,11-05-2016,Wednesday,12770,8.130000114,1783,36,23,251,669,NULL,NULL
1503960366,12-05-2016,Thursday,0,0,0,0,0,0,1440,NULL,NULL
1624580081,12-04-2016,Tuesday,8163,5.309999943,1432,0,0,146,1294,NULL,NULL
1624580081,13-04-2016,Wednesday,7007,4.550000191,1411,0,0,148,1292,NULL,NULL
1624580081,14-04-2016,Thursday,9107,5.920000076,1572,0,0,236,1204,NULL,NULL
1624580081,15-04-2016,Friday,1510,0.980000019,1344,0,0,96,1344,NULL,NULL
1624580081,16-04-2016,Saturday,5370,3.49000001,1463,0,0,176,1264,NULL,NULL
1624580081,17-04-2016,Sunday,6175,4.059999943,1554,15,22,127,1276,NULL,NULL
1624580081,18-04-2016,Monday,10536,7.409999847,1604,17,7,202,1214,NULL,NULL
1624580081,19-04-2016,Tuesday,2916,1.899999976,1435,0,0,141,1299,NULL,NULL
1624580081,20-04-2016,Wednesday,4974,3.230000019,1446,0,0,151,1289,NULL,NULL
1624580081,21-04-2016,Thursday,6349,4.130000114,1467,0,0,186,1254,NULL,NULL
1624580081,22-04-2016,Friday,4026,2.619999886,1470,0,0,199,1241,NULL,NULL
1624580081,23-04-2016,Saturday,8538,5.550000191,1562,0,0,227,1213,NULL,NULL
1624580081,24-04-2016,Sunday,6076,3.950000048,1617,16,18,185,1221,NULL,NULL
1624580081,25-04-2016,Monday,6497,4.21999979,1492,0,0,202,1238,NULL,NULL
1624580081,26-04-2016,Tuesday,2826,1.840000033,1402,0,0,140,1300,NULL,NULL
1624580081,27-04-2016,Wednesday,8367,5.440000057,1670,17,36,154,1233,NULL,NULL
1624580081,28-04-2016,Thursday,2759,1.789999962,1401,0,5,115,1320,NULL,NULL
1624580081,29-04-2016,Friday,2390,1.549999952,1404,0,0,150,1290,NULL,NULL
1624580081,30-04-2016,Saturday,6474,4.300000191,1655,11,23,224,1182,NULL,NULL
1624580081,01-05-2016,Sunday,36019,28.03000069,2690,186,63,171,1020,NULL,NULL
1624580081,02-05-2016,Monday,7155,4.929999828,1497,7,6,166,1261,NULL,NULL
1624580081,03-05-2016,Tuesday,2100,1.370000005,1334,0,0,96,1344,NULL,NULL
1624580081,04-05-2016,Wednesday,2193,1.429999948,1368,0,0,118,1322,NULL,NULL
1624580081,05-05-2016,Thursday,2470,1.610000014,1370,0,0,117,1323,NULL,NULL
1624580081,06-05-2016,Friday,1727,1.120000005,1341,0,0,102,1338,NULL,NULL
1624580081,07-05-2016,Saturday,2104,1.370000005,1474,0,0,182,1258,NULL,NULL
1624580081,08-05-2016,Sunday,3427,2.230000019,1427,0,0,152,1288,NULL,NULL
1624580081,09-05-2016,Monday,1732,1.129999995,1328,0,0,91,1349,NULL,NULL
1624580081,10-05-2016,Tuesday,2969,1.929999948,1393,0,0,139,1301,NULL,NULL
1624580081,11-05-2016,Wednesday,3134,2.039999962,1359,0,0,112,1328,NULL,NULL
1624580081,12-05-2016,Thursday,2971,1.929999948,1002,0,0,107,890,NULL,NULL
1644430081,12-04-2016,Tuesday,10694,7.769999981,3199,2,51,256,1131,NULL,NULL
1644430081,13-04-2016,Wednesday,8001,5.820000172,2902,30,16,135,1259,NULL,NULL
1644430081,14-04-2016,Thursday,11037,8.020000458,3226,5,58,252,1125,NULL,NULL
1644430081,15-04-2016,Friday,5263,3.829999924,2750,3,4,170,1263,NULL,NULL
1644430081,16-04-2016,Saturday,15300,11.11999989,3493,51,42,212,1135,NULL,NULL
1644430081,17-04-2016,Sunday,8757,6.369999886,3011,29,13,186,1212,NULL,NULL
1644430081,18-04-2016,Monday,7132,5.190000057,2806,15,33,121,1271,NULL,NULL
1644430081,19-04-2016,Tuesday,11256,8.180000305,3300,5,58,278,1099,NULL,NULL
1644430081,20-04-2016,Wednesday,2436,1.769999981,2430,0,0,125,1315,NULL,NULL
1644430081,21-04-2016,Thursday,1223,0.889999986,2140,0,0,38,1402,NULL,NULL
1644430081,22-04-2016,Friday,3673,2.670000076,2344,0,0,86,1354,NULL,NULL
1644430081,23-04-2016,Saturday,6637,4.829999924,2677,0,15,160,1265,NULL,NULL
1644430081,24-04-2016,Sunday,3321,2.410000086,2413,0,0,89,1351,NULL,NULL
1644430081,25-04-2016,Monday,3580,2.599999905,2497,8,1,94,1337,NULL,NULL
1644430081,26-04-2016,Tuesday,9919,7.210000038,3123,11,41,223,1165,NULL,NULL
1644430081,27-04-2016,Wednesday,3032,2.200000048,2489,0,0,118,1322,NULL,NULL
1644430081,28-04-2016,Thursday,9405,6.840000153,3108,3,53,227,1157,NULL,NULL
1644430081,29-04-2016,Friday,3176,2.309999943,2498,0,0,120,1193,119,127
1644430081,30-04-2016,Saturday,18213,13.23999977,3846,9,71,402,816,124,142
1644430081,01-05-2016,Sunday,6132,4.460000038,2696,3,24,146,908,NULL,NULL
1644430081,02-05-2016,Monday,3758,2.730000019,2580,1,7,148,682,NULL,NULL
1644430081,03-05-2016,Tuesday,12850,9.340000153,3324,10,94,221,1115,NULL,NULL
1644430081,04-05-2016,Wednesday,2309,1.679999948,2222,0,0,52,1388,NULL,NULL
1644430081,05-05-2016,Thursday,4363,3.190000057,2463,6,12,81,1341,NULL,NULL
1644430081,06-05-2016,Friday,9787,7.119999886,3328,11,6,369,1054,NULL,NULL
1644430081,07-05-2016,Saturday,13372,9.720000267,3404,41,17,243,1139,NULL,NULL
1644430081,08-05-2016,Sunday,6724,4.889999866,2987,0,0,295,991,NULL,NULL
1644430081,09-05-2016,Monday,6643,4.829999924,3008,32,6,303,1099,NULL,NULL
1644430081,10-05-2016,Tuesday,9167,6.659999847,2799,12,19,155,1254,NULL,NULL
1644430081,11-05-2016,Wednesday,1329,0.970000029,1276,0,0,49,713,NULL,NULL
1844505072,12-04-2016,Tuesday,6697,4.429999828,2030,0,0,339,1101,NULL,NULL
1844505072,13-04-2016,Wednesday,4929,3.25999999,1860,0,0,248,1192,NULL,NULL
1844505072,14-04-2016,Thursday,7937,5.25,2130,0,0,373,843,NULL,NULL
1844505072,15-04-2016,Friday,3844,2.539999962,1725,0,0,176,527,644,961
1844505072,16-04-2016,Saturday,3414,2.25999999,1657,0,0,147,1293,NULL,NULL
1844505072,17-04-2016,Sunday,4525,2.99000001,1793,2,8,199,1231,NULL,NULL
1844505072,18-04-2016,Monday,4597,3.039999962,1814,0,12,217,1211,NULL,NULL
1844505072,19-04-2016,Tuesday,197,0.129999995,1366,0,0,10,1430,NULL,NULL
1844505072,20-04-2016,Wednesday,8,0.01,1349,0,0,1,1439,NULL,NULL
1844505072,21-04-2016,Thursday,8054,5.320000172,2062,2,13,308,1117,NULL,NULL
1844505072,22-04-2016,Friday,5372,3.549999952,1827,0,0,220,1220,NULL,NULL
1844505072,23-04-2016,Saturday,3570,2.359999895,1645,0,0,139,1301,NULL,NULL
1844505072,24-04-2016,Sunday,0,0,1347,0,0,0,1440,NULL,NULL
1844505072,25-04-2016,Monday,0,0,1347,0,0,0,1440,NULL,NULL
1844505072,26-04-2016,Tuesday,0,0,1347,0,0,0,1440,NULL,NULL
1844505072,27-04-2016,Wednesday,4,0,1348,0,0,1,1439,NULL,NULL
1844505072,28-04-2016,Thursday,6907,4.570000172,1992,0,0,302,1138,NULL,NULL
1844505072,29-04-2016,Friday,4920,3.25,1856,0,0,247,1082,NULL,NULL
1844505072,30-04-2016,Saturday,4014,2.670000076,1763,0,0,184,218,722,961
1844505072,01-05-2016,Sunday,2573,1.700000048,1541,0,7,75,585,NULL,NULL
1844505072,02-05-2016,Monday,0,0,1348,0,0,0,1440,NULL,NULL
1844505072,03-05-2016,Tuesday,4059,2.680000067,1742,0,0,184,1256,NULL,NULL
1844505072,04-05-2016,Wednesday,2080,1.370000005,1549,0,0,87,1353,NULL,NULL
1844505072,05-05-2016,Thursday,2237,1.480000019,1589,0,0,120,1320,NULL,NULL
1844505072,06-05-2016,Friday,44,0.029999999,1351,0,0,2,1438,NULL,NULL
1844505072,07-05-2016,Saturday,0,0,1347,0,0,0,1440,NULL,NULL
1844505072,08-05-2016,Sunday,0,0,1347,0,0,0,1440,NULL,NULL
1844505072,09-05-2016,Monday,0,0,1347,0,0,0,1440,NULL,NULL
1844505072,10-05-2016,Tuesday,0,0,1347,0,0,0,1440,NULL,NULL
1844505072,11-05-2016,Wednesday,0,0,1347,0,0,0,1440,NULL,NULL
1844505072,12-05-2016,Thursday,0,0,665,0,0,0,711,NULL,NULL
1927972279,12-04-2016,Tuesday,678,0.469999999,2220,0,0,55,734,NULL,NULL
1927972279,13-04-2016,Wednesday,356,0.25,2151,0,0,32,986,398,422
1927972279,14-04-2016,Thursday,2163,1.5,2383,0,9,88,1292,NULL,NULL
1927972279,15-04-2016,Friday,980,0.680000007,2221,0,0,51,941,475,499
1927972279,16-04-2016,Saturday,0,0,2064,0,0,0,1440,NULL,NULL
1927972279,17-04-2016,Sunday,0,0,2063,0,0,0,1440,NULL,NULL
1927972279,18-04-2016,Monday,244,0.170000002,2111,0,0,17,1423,NULL,NULL
1927972279,19-04-2016,Tuesday,0,0,2063,0,0,0,1440,NULL,NULL
1927972279,20-04-2016,Wednesday,0,0,2063,0,0,0,1440,NULL,NULL
1927972279,21-04-2016,Thursday,0,0,2064,0,0,0,1440,NULL,NULL
1927972279,22-04-2016,Friday,149,0.100000001,2093,0,0,10,1430,NULL,NULL
1927972279,23-04-2016,Saturday,2945,2.039999962,2499,0,0,145,1295,NULL,NULL
1927972279,24-04-2016,Sunday,2090,1.450000048,2324,1,6,75,1358,NULL,NULL
1927972279,25-04-2016,Monday,152,0.109999999,2100,0,0,12,1303,NULL,NULL
1927972279,26-04-2016,Tuesday,3761,2.599999905,2638,0,0,192,1058,296,315
1927972279,27-04-2016,Wednesday,0,0,2063,0,0,0,1440,NULL,NULL
1927972279,28-04-2016,Thursday,1675,1.159999967,2351,0,0,95,1167,166,178
1927972279,29-04-2016,Friday,0,0,2063,0,0,0,1440,NULL,NULL
1927972279,30-04-2016,Saturday,0,0,2064,0,0,0,1440,NULL,NULL
1927972279,01-05-2016,Sunday,2704,1.870000005,2411,14,1,70,1355,NULL,NULL
1927972279,02-05-2016,Monday,3790,2.619999886,2505,16,8,94,1322,NULL,NULL
1927972279,03-05-2016,Tuesday,1326,0.920000017,2195,10,0,17,1413,NULL,NULL
1927972279,04-05-2016,Wednesday,1786,1.24000001,2338,0,0,87,1353,NULL,NULL
1927972279,05-05-2016,Thursday,0,0,2063,0,0,0,1440,NULL,NULL
1927972279,06-05-2016,Friday,2091,1.450000048,2383,0,0,108,1332,NULL,NULL
1927972279,07-05-2016,Saturday,1510,1.039999962,2229,0,0,48,1392,NULL,NULL
1927972279,08-05-2016,Sunday,0,0,2063,0,0,0,1440,NULL,NULL
1927972279,09-05-2016,Monday,0,0,2063,0,0,0,1440,NULL,NULL
